"Path"	"Type"	"Extent"	"OffsetHex"	"Size"
"ADV\CHAR\FRPGKNW.CCS"	"file"	"8770"	"0x1121000"	"46042"
"ADV\CHAR\FRPGKRW.CCS"	"file"	"8793"	"0x112C800"	"61051"
"ADV\CHAR\FRPGM11.CCS"	"file"	"8823"	"0x113B800"	"29728"
"ADV\CHAR\FRPGM12.CCS"	"file"	"8838"	"0x1143000"	"39641"
"ADV\CHAR\FRPGM13.CCS"	"file"	"8858"	"0x114D000"	"31435"
"ADV\CHAR\FRPGM14.CCS"	"file"	"8874"	"0x1155000"	"29384"
"ADV\CHAR\FRPGM15.CCS"	"file"	"8889"	"0x115C800"	"31368"
"ADV\CHAR\FRPGM16.CCS"	"file"	"8905"	"0x1164800"	"38065"
"ADV\CHAR\FRPGMN1.CCS"	"file"	"8924"	"0x116E000"	"29729"
"ADV\CHAR\FRPGMN2.CCS"	"file"	"8939"	"0x1175800"	"39643"
"ADV\CHAR\FRPGMN3.CCS"	"file"	"8959"	"0x117F800"	"31433"
"ADV\CHAR\FRPGMN4.CCS"	"file"	"8975"	"0x1187800"	"29382"
"ADV\CHAR\FRPGMN5.CCS"	"file"	"8990"	"0x118F000"	"31367"
"ADV\CHAR\FRPGMN6.CCS"	"file"	"9006"	"0x1197000"	"38064"
"ADV\CHAR\FRPGMOK.CCS"	"file"	"9025"	"0x11A0800"	"26487"
"ADV\CHAR\FRPGN11.CCS"	"file"	"9038"	"0x11A7000"	"41109"
"ADV\CHAR\FRPGN12.CCS"	"file"	"9059"	"0x11B1800"	"43703"
"ADV\CHAR\FRPGN13.CCS"	"file"	"9081"	"0x11BC800"	"33441"
"ADV\CHAR\FRPGNA1.CCS"	"file"	"9098"	"0x11C5000"	"41109"
"ADV\CHAR\FRPGNA2.CCS"	"file"	"9119"	"0x11CF800"	"43703"
"ADV\CHAR\FRPGNA3.CCS"	"file"	"9141"	"0x11DA800"	"33442"
"ADV\CHAR\FRPGNEW.CCS"	"file"	"9158"	"0x11E3000"	"59546"
"ADV\CHAR\FRPGON1.CCS"	"file"	"9188"	"0x11F2000"	"56048"
"ADV\CHAR\FRPGON10.CCS"	"file"	"9216"	"0x1200000"	"61240"
"ADV\CHAR\FRPGON11.CCS"	"file"	"9246"	"0x120F000"	"32342"
"ADV\CHAR\FRPGON12.CCS"	"file"	"9262"	"0x1217000"	"34127"
"ADV\CHAR\FRPGON2.CCS"	"file"	"9279"	"0x121F800"	"57266"
"ADV\CHAR\FRPGON3.CCS"	"file"	"9307"	"0x122D800"	"56171"
"ADV\CHAR\FRPGON4.CCS"	"file"	"9335"	"0x123B800"	"54425"
"ADV\CHAR\FRPGON5.CCS"	"file"	"9362"	"0x1249000"	"27633"
"ADV\CHAR\FRPGON6.CCS"	"file"	"9376"	"0x1250000"	"44437"
"ADV\CHAR\FRPGON7.CCS"	"file"	"9398"	"0x125B000"	"54912"
"ADV\CHAR\FRPGON8.CCS"	"file"	"9425"	"0x1268800"	"45828"
"ADV\CHAR\FRPGON9.CCS"	"file"	"9448"	"0x1274000"	"53796"
"ADV\CHAR\FRPGORW.CCS"	"file"	"9475"	"0x1281800"	"54520"
"ADV\CHAR\FRPGOT1.CCS"	"file"	"9502"	"0x128F000"	"51995"
"ADV\CHAR\FRPGOT10.CCS"	"file"	"9528"	"0x129C000"	"52138"
"ADV\CHAR\FRPGOT11.CCS"	"file"	"9554"	"0x12A9000"	"51275"
"ADV\CHAR\FRPGOT12.CCS"	"file"	"9580"	"0x12B6000"	"54235"
"ADV\CHAR\FRPGOT2.CCS"	"file"	"9607"	"0x12C3800"	"59296"
"ADV\CHAR\FRPGOT3.CCS"	"file"	"9636"	"0x12D2000"	"50897"
"ADV\CHAR\FRPGOT4.CCS"	"file"	"9661"	"0x12DE800"	"73789"
"ADV\CHAR\FRPGOT5.CCS"	"file"	"9698"	"0x12F1000"	"49032"
"ADV\CHAR\FRPGOT6.CCS"	"file"	"9722"	"0x12FD000"	"50996"
"ADV\CHAR\FRPGOT7.CCS"	"file"	"9747"	"0x1309800"	"54908"
